VID;household_type;heating_type;survey_WP_type;survey_WP_age
9513423;NA;NA;NA;NA
9747787;multi-family house;electric heating;NA;NA
2760555;NA;NA;NA;NA
3008942;multi-family house;heat pump;NA;NA
8033103;NA;NA;NA;NA
3794550;NA;NA;NA;NA
7308648;single family house;electric heating;NA;NA
2027290;NA;NA;NA;NA
5920370;multi-family house;electric heating;NA;NA
3076387;NA;NA;NA;NA
2578974;NA;NA;NA;NA
1401941;NA;NA;NA;NA
1366587;NA;NA;NA;NA
5188638;NA;NA;NA;NA
3277071;NA;NA;NA;NA
4553740;NA;NA;NA;NA
5495146;NA;NA;NA;NA
6149368;NA;NA;NA;NA
4698176;NA;NA;NA;NA
6417506;NA;NA;NA;NA
3522448;NA;NA;NA;NA
4177832;NA;NA;NA;NA
5332629;NA;NA;NA;NA
7275574;NA;NA;NA;NA
5998103;NA;NA;NA;NA
7993609;multi-family house;heat pump;don't know;<10 years
7086050;semidetached house;electric heating;NA;NA
3089839;NA;NA;NA;NA
1270066;multi-family house;heat pump;geothermal;<10 years
6947565;NA;NA;NA;NA
1968356;NA;NA;NA;NA
9383231;NA;NA;NA;NA
4823123;NA;NA;NA;NA
6622664;NA;NA;NA;NA
3647083;single family house;electric heating;NA;NA
2313250;NA;NA;NA;NA
9381221;multi-family house;heat pump;geothermal;<10 years
8305077;single family house;heat pump;geothermal;<10 years
3624376;NA;NA;NA;NA
3938156;NA;NA;NA;NA
7514911;multi-family house;electric heating;NA;NA
8839316;NA;NA;NA;NA
8545399;NA;NA;NA;NA
3558668;NA;NA;NA;NA
2367900;multi-family house;electric heating;NA;NA
6247722;NA;NA;NA;NA
4631713;NA;NA;NA;NA
7860978;multi-family house;heat pump;geothermal;<10 years
5532011;NA;NA;NA;NA
4675189;NA;NA;NA;NA
8738356;NA;NA;NA;NA
4885118;NA;NA;NA;NA
7470377;NA;NA;NA;NA
5184082;single family house;electric heating;NA;NA
1320610;teraced house;electric heating;NA;NA
1005084;single family house;heat pump;air;10-20 years
7717734;NA;NA;NA;NA
9545791;NA;NA;NA;NA
8214623;NA;NA;NA;NA
8380109;multi-family house;electric heating;NA;NA
1735040;NA;NA;NA;NA
8634770;multi-family house;heat pump;geothermal;<10 years
6598309;NA;NA;NA;NA
7761776;NA;NA;NA;NA
5219426;NA;NA;NA;NA
3487292;NA;NA;NA;NA
5781866;NA;NA;NA;NA
5869586;NA;NA;NA;NA
1364017;single family house;heat pump;geothermal;<10 years
5874266;NA;heat pump;geothermal;<10 years
6385352;NA;NA;NA;NA
5238911;NA;NA;NA;NA
7991938;NA;NA;NA;NA
3213652;NA;NA;NA;NA
4261018;NA;NA;NA;NA
7631959;NA;NA;NA;NA
8276536;NA;NA;NA;NA
8316373;NA;NA;NA;NA
3398513;NA;NA;NA;NA
5733341;NA;NA;NA;NA
2202725;NA;NA;NA;NA
4380529;NA;NA;NA;NA
3997802;NA;NA;NA;NA
