ID;PLZ;Strasse;Betreff;Cons_2011;Days_2011;Cons_2012;Days_2012;Cons_2013;Days_2013;FilterNonHousehold;Portal;pPoints;pEarnedPoints;pHouseholdType;pMainHeatingType;pWaterHeatingType;pLivingAreaM2;pHouseholdMembers;pCreated;pLastVisited
187;8400;Lindenstrasse;EG/3, Buero Whg.-Nr.2/36;NA;1;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
188;8400;Lindenstrasse;EG/2, Buero, Whg.-Nr.2;NA;1;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
189;8400;Lindenstrasse;OG 2/L;2424;159;1647;78;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
190;8400;Lindenstrasse;OG 2;NA;0;3473;271;4776;364;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
191;8400;Lindenstrasse;OG 2/M;825;187;2003;364;1716;364;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
192;8400;Lindenstrasse;EG/R;1872;146;2600;190;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
193;8400;Lindenstrasse;OG 1/R;900;192;1965;407;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
194;8400;Lindenstrasse;OG 1/R;333;196;659;363;780;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
195;8400;Lindenstrasse;OG 2/L;488;159;NA;0;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
196;8400;Lindenstrasse;OG 1/L;567;187;756;363;792;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
197;8400;Lindenstrasse;OG 1;NA;0;NA;0;2899;273;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
198;8400;Lindenstrasse;OG 2/R;506;196;679;363;639;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
199;8400;Lindenstrasse;OG 1;3011;196;5279;363;NA;1;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
200;8400;Lindenstrasse;OG 2/L;1589;195;2768;363;2956;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
201;8400;Lindenstrasse;OG 2/R;311;176;102;70;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
202;8400;Lindenstrasse;OG 2/R;NA;0;363;245;594;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
203;8400;Lindenstrasse;EG;1152;196;2115;363;2062;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
204;8400;Lindenstrasse;Allg.;1486;196;3072;363;3032;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
205;8400;Lindenstrasse;EG;1452;196;3231;363;3238;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
206;8400;Lindenstrasse;OG 2+3;2436;196;6545;363;7601;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
207;8400;Lindenstrasse;OG 1/R;3356;182;2922;182;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
208;8400;Lindenstrasse;OG 1;NA;0;NA;0;778;90;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
209;8400;Lindenstrasse;EG/L;NA;0;NA;0;241;80;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
210;8400;Lindenstrasse;OG 3;NA;0;594;84;2702;364;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
211;8400;Lindenstrasse;Einfamilienhaus;1551;184;4209;362;3457;456;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
212;8400;Lindenstrasse;EG/R;1907;187;4099;364;4536;364;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
